Step,AgentID,Run_number,Type,Belieftree,Affiliation
0,0,0,<class 'agent.Externalparties'>,"[[0.0, 0.57275, 0.3163787817690697], [-0.5, 0.73758, 0.6836212182309302], [-0.33333333333333337, 0.52172, 0.3992008153559643], [0.0, 0.54832, 0.3330413062300654], [-0.5663445049803449, 0.74208, 0.4736019173898218], [-0.19999999999999996, 0.76605, 0.2678141442646337], [0.0, -0.03384, 0.0036245889797757343], [-0.05882352941176472, -0.03164, 0.007599461612869097], [-0.1428571428571428, -0.00729, 0.13150223526834992], [0.0, 0.00488, 0.056458700796785076], [-0.770884747397305, 0.00581, 0.20347076657909494], [-0.9951326590507157, 0.02317, 0.18258436591205332], [-0.7932671052482673, -0.01457, 0.08340593812843188], [-0.3809939766842496, 0.6636, 0.178656649305538], [-0.6007692121700516, 0.016, 0.1123643560472061], [-0.3633328632887657, 0.01301, 0.04033293736989589], [0.0138], [0.030081475729737933], [0.7772069424706236], [-0.71728], [0.49772], [0.53999], [-0.03478580557025879], [0.02111], [-0.5062], [-0.03716], [-0.04746], [0.38958], [0.03894], [-0.40975], [0.7045], [0.31784], [0.87004], [-0.01449], [-0.51321], [-0.01821], [-0.04899], [0.41988], [-0.04501], [-0.44238], [0.71794], [0.30818], [0.87457], [0.0277], [-0.8985937569139314], [0.03345], [0.83472], [0.39913], [0.85825], [0.52456], [-0.0237], [0.47644], [0.33039], [-0.36616], [-0.04327], [-0.85981], [0.39247], [0.1367], [0.85686], [-0.48067], [-0.00654], [0.32068], [-0.23786], [-0.13603]]",0
0,1,0,<class 'agent.Externalparties'>,"[[0.0, 0.56765, 0.3226402332626649], [-0.5, 0.69174, 0.6773597667373351], [-0.33333333333333337, 0.51698, 0.40725294524776684], [0.0, 0.54062, 0.3114331906254451], [-0.5670872353094081, 0.72281, 0.47481192859977295], [-0.19999999999999996, 0.7599, 0.2636558739796692], [0.0, -0.02389, 0.0025935960016070948], [-0.05882352941176472, -0.03041, 0.003084688835240626], [-0.1428571428571428, -0.03956, 0.11668566085841782], [0.0, -0.0351, 0.06456404049756836], [-0.770884747397305, 0.01258, 0.21195722249344193], [-0.9951326590507157, 0.00838, 0.17980531036677766], [-0.7932671052482673, -0.04824, 0.08088318632318184], [-0.3809939766842496, 0.72164, 0.18559362896409287], [-0.6007692121700516, 0.01442, 0.11289027523930313], [-0.3635476202468413, 0.02279, 0.04194239042036867], [-0.00703], [-0.042692619707027944], [0.7729052504363905], [-0.75549], [0.53064], [0.49778], [-0.033], [-0.02347], [-0.53272], [-0.03732], [0.00327], [0.43512], [0.0388], [-0.4251], [0.66628], [0.33662], [0.89123], [0.04787], [-0.51468], [0.01358], [-0.04731], [0.36577], [-0.044], [-0.39613], [0.74798], [0.29143], [0.90895], [-0.01065], [-0.9402940143529859], [-0.04389], [0.75317], [0.43384], [0.9062], [0.50601], [-0.03796], [0.4705117888485234], [0.32922], [-0.35623], [-0.01446], [-0.87972], [0.35863], [0.09418], [0.88208], [-0.5182], [-0.0277], [0.26877], [-0.22828], [-0.06737]]",1
0,2,0,<class 'agent.Externalparties'>,"[[0.0, -0.24041, 0.14740217537921987], [-0.5, 0.89057, 0.8525978246207802], [-0.33333333333333337, -0.24796, 0.514383864370334], [0.0, -0.20568, 0.5793403503792189], [-0.5670872353094081, 0.09192, 0.42980613376469334], [-0.19999999999999996, 0.13626, 0.38036816900970194], [0.0, 0.00309, 0.02007338898505094], [-0.05882352941176472, 0.00617, 0.013052815203497416], [-0.1428571428571428, 0.03873, 0.03646860603659305], [0.0, -0.04177, 0.008388774943977662], [-0.770884747397305, 0.00887, 0.15800663316762978], [-0.9951326590507157, -0.04506, 0.20647498632157396], [-0.7932671052482673, -0.01442, 0.15641783772315532], [-0.3809939766842496, 0.66578, 0.21022627023262366], [-0.6007692121700516, 0.00401, 0.12145934167322668], [-0.3635476202468413, -0.01783, 0.06943134571267144], [-0.018629799329257228], [0.03829], [0.7581343098452452], [-0.78454], [0.50256], [0.49088], [-0.01738], [0.04195], [-0.54782], [0.03335], [0.01265], [0.35184], [0.02578], [-0.3709], [0.70768], [0.30287], [0.91888], [-0.04606], [-0.47093], [0.01276], [0.04988], [0.38483], [-0.03405], [-0.37934], [0.72284], [0.3111], [0.85665], [0.01127], [-0.9271528720456985], [-0.04549], [0.81003], [0.40641], [0.89444], [0.52807], [0.04498], [0.5003273841909124], [0.28671], [-0.36444], [0.00495], [-0.85147], [0.43641], [0.06016], [0.90879], [-0.48552], [0.00431], [0.30472], [-0.1888], [-0.10974]]",2
0,3,0,<class 'agent.Externalparties'>,"[[0.0, 0.62553, 0.34725815226442536], [-0.5, 0.67581, 0.6527418477355745], [-0.33333333333333337, 0.51465, 0.41264100603959575], [0.0, 0.4516, 0.2974854465131619], [-0.5670872353094081, 0.71768, 0.4910075017935662], [-0.19999999999999996, 0.75695, 0.270225579967296], [0.0, -0.00664, 0.0007141648843106068], [-0.05882352941176472, 0.00027, 0.012177454860895822], [-0.1428571428571428, -0.0275, 0.1267357660143216], [0.0, -0.01326, 0.057965167236905396], [-0.770884747397305, 0.0368, 0.21182945286554725], [-0.9951326590507157, -0.03783, 0.16837712970640484], [-0.7932671052482673, -0.0351, 0.08738700753536474], [-0.3809939766842496, 0.70121, 0.1901419428137836], [-0.6007692121700516, 0.01528, 0.10949524728630863], [-0.3635476202468413, -0.03649, 0.035176666796157795], [-0.009023550595147032], [-0.0022932635454319416], [0.7079383898201829], [-0.75864], [0.5216], [0.51189], [0.0096], [-0.04618], [-0.47113], [0.04724], [-0.01331], [0.38648], [-0.03046], [-0.40574], [0.66517], [0.25486], [0.90711], [0.03253], [-0.47572], [-0.03374], [-0.01513], [0.40459], [-0.00981], [-0.3576], [0.68243], [0.25223], [0.88823], [-0.01355], [-0.8827439898578544], [0.04213], [0.82737], [0.40916], [0.9043], [0.47339], [0.04228], [0.5336727593422582], [0.31289], [-0.38659], [0.03011], [-0.89734], [0.41979], [0.09274], [0.94931], [-0.53563], [-0.01353], [0.25138], [-0.22697], [-0.07102]]",0
0,4,0,<class 'agent.Externalparties'>,"[[0.0, 0.57487, 0.33177699544064176], [-0.5, 0.65783, 0.6682230045593582], [-0.33333333333333337, 0.53215, 0.3896440863871449], [0.0, 0.53196, 0.29097880436191687], [-0.5670872353094081, 0.78008, 0.4994006533639931], [-0.19999999999999996, 0.76225, 0.2595862407504379], [0.0, -0.00999, 0.0010606959290514442], [-0.05882352941176472, 0.01528, 0.013533675624854325], [-0.1428571428571428, -0.03225, 0.12181898023699829], [0.0, -0.01194, 0.05771137854919414], [-0.770884747397305, 0.02165, 0.21961787101117092], [-0.9951326590507157, -0.0443, 0.17899754235402407], [-0.7929881172470045, -0.03643, 0.08103575449995536], [-0.3809939766842496, 0.72009, 0.1881706606044876], [-0.6007692121700516, -0.04193, 0.09684793979776259], [-0.3635476202468413, 0.02454, 0.041205501392501245], [0.04461739192833295], [-0.0263483281942176], [0.7905017136863418], [-0.70619], [0.47775], [0.47214], [0.04277], [-0.04134], [-0.46696], [0.02101], [0.01813], [0.44287], [-0.00527], [-0.41891], [0.69551], [0.28588], [0.91041], [0.04336], [-0.52808], [-0.03399], [-0.00956], [0.42493], [0.04915], [-0.41544], [0.65148], [0.29891], [0.94427], [0.01356], [-0.9495908442864927], [0.03961], [0.76956], [0.39461], [0.9471], [0.54561], [0.00474], [0.49820762567744775], [0.26226], [-0.43228], [0.02316], [-0.91015], [0.4052], [0.09716], [0.89706], [-0.52374], [0.04481], [0.31032], [-0.17972], [-0.08251]]",1
0,5,0,<class 'agent.Externalparties'>,"[[0.0, -0.1534, 0.09836738358149616], [-0.5, 0.90606, 0.9016326164185039], [-0.33333333333333337, -0.15008, 0.6471729463367264], [0.0, -0.16662, 0.6451922043417507], [-0.5670872353094081, 0.10537, 0.4806984172816878], [-0.19999999999999996, 0.12358, 0.29739074284627], [0.0, 0.01735, 0.0032595094268647253], [-0.05882352941176472, 0.04472, 0.020949074081608506], [-0.1428571428571428, -0.0056, 0.026797355677981496], [0.0, -0.01247, 0.016854565370342998], [-0.770884747397305, 0.02602, 0.14971288394551976], [-0.9951326590507157, 0.04201, 0.19484589476538072], [-0.7932671052482673, 0.02492, 0.1765417098758744], [-0.3809939766842496, 0.68296, 0.20918689665536502], [-0.6007692121700516, -0.00902, 0.14224768374379912], [-0.3635476202468413, -0.04628, 0.05960442645726322], [-0.04473], [0.04439932166403929], [0.7659795476667312], [-0.71146], [0.53451], [0.54917], [0.01919], [-0.00724], [-0.52973], [0.04347], [0.02937], [0.42152], [-0.04101], [-0.41377], [0.66315], [0.27025], [0.90268], [-0.04847], [-0.47498], [-0.01234], [-0.02374], [0.35163], [-0.0006], [-0.37753], [0.71698], [0.32999], [0.8547], [-0.01955], [-0.9464215347463846], [0.03174], [0.8335], [0.42205], [0.89297], [0.5038], [-0.03741], [0.4591169579782175], [0.31815], [-0.35008], [-0.01681], [-0.91323], [0.37476], [0.09682], [0.86255], [-0.51942], [0.01243], [0.26257], [-0.23318], [-0.1254]]",2
0,6,0,<class 'agent.Policymakers'>,"[[0.0, 0.5625945699999999, 0.32881672249175703], [-0.4166666666666667, 0.7317057899999999, 0.671183277508243], [-0.2779064028869161, 0.4522431410458981, 0.4016236434660686], [0.0, 0.46464840515746875, 0.3227896987063409], [-0.4725726960911734, 0.76116274, 0.5105115528478217], [-0.16666666666666663, 0.7059247599999999, 0.2638877171847942], [0.0, 0.04895426, 0.005661414639162955], [-0.04901960784313727, 0.024550290000000002, 0.015399479437091572], [-0.119047619047619, 0.02432927, 0.13336862651923273], [0.0, -0.01984883, 0.06433178108938216], [-0.6424039561644209, 0.02309924, 0.20845107917379652], [-0.8292772158755964, 0.02084863, 0.1637679839133136], [-0.6611620973897557, 0.00159663, 0.0778545578595388], [-0.31749498057020803, 0.69025151, 0.1867820847509657], [-0.5006410101417097, 0.034607940000000004, 0.11049744748454036], [-0.30298658434421954, -0.00997823, 0.03388554513297538], [0.019040079806690466], [-0.03627962173941992], [0.727144383911809], [-0.7466], [0.5105772015860751], [0.5205213834665775], [0.0395], [-0.00743], [-0.53077], [0.04683], [0.03315], [0.44929], [0.00489], [-0.42325], [0.71248], [0.32333], [0.85675], [0.02956], [-0.45546], [-0.00269], [0.02209], [0.41803], [0.03354], [-0.38614], [0.69345], [0.32598], [0.88985], [-0.04959], [-0.8511804190191032], [0.0483], [0.81854], [0.4348], [0.92157], [0.45875], [0.00847], [0.49229229358597326], [0.34061], [-0.41048], [-0.03326], [-0.9343], [0.43721], [0.10226], [0.86756], [-0.45862], [-0.02056], [0.31665], [-0.23878], [-0.08046]]",0
0,7,0,<class 'agent.Policymakers'>,"[[0.0, 0.60787355, 0.3454162565763207], [-0.43333333333333335, 0.71862213, 0.6545837434236792], [-0.2888888888888889, 0.5408409000000001, 0.39005693159437005], [0.0, 0.47099716007326903, 0.30266375380171406], [-0.4914756039348203, 0.78886752, 0.4961017119803777], [-0.1733333333333333, 0.78608798, 0.2691995077512277], [0.0, -0.007191520000000001, 0.0008316169467703576], [-0.05098039215686276, 0.048960000000000004, 0.017880477496202956], [-0.12380952380952376, -0.02985211, 0.13109628493165654], [0.0, 0.00776521, 0.05350113720482014], [-0.6681001144109976, 0.01160015, 0.21574033154158168], [-0.8624483045106203, 0.0045363, 0.16774715594565057], [-0.6874981578818317, -0.032887679999999996, 0.07569820662947103], [-0.3301947797930163, 0.74796847, 0.2014947078544334], [-0.520666650547378, -0.02762006, 0.10242428177562271], [-0.31507460421392913, -0.02463686, 0.033585799673790495], [0.011612683051263494], [-0.007726299595402066], [0.738477819795383], [-0.77684], [0.48033], [0.5065930438484391], [0.03381], [-0.01385], [-0.51511], [-0.04134], [-0.02882], [0.39973], [-0.00094], [-0.37408], [0.66363], [0.29039], [0.85579], [0.03114], [-0.45594], [0.04769], [0.02621], [0.38558], [-0.00452], [-0.35109], [0.71662], [0.25818], [0.91399], [-0.042], [-0.9156287340685205], [0.04271], [0.81206], [0.35529], [0.92627], [0.45584], [-0.03767], [0.5188370761339257], [0.3067], [-0.38017], [0.04967], [-0.88443], [0.36689], [0.10524], [0.94461], [-0.50095], [0.01245], [0.27227], [-0.15205], [-0.14502]]",1
0,8,0,<class 'agent.Policymakers'>,"[[0.0, -0.24049585, 0.1546918974684411], [-0.45, 0.8641806, 0.8453081025315589], [-0.30000000000000004, -0.19372841999999998, 0.5740659094074824], [0.0, -0.20804879, 0.6336494464139062], [-0.5103785117784673, 0.12456859, 0.4468397656652322], [-0.17999999999999997, 0.10299774, 0.33195938141141307], [0.0, 0.00918299, 0.023387395195886725], [-0.05294117647058825, -0.02003576, 0.009350846499874594], [-0.12857142857142853, -0.01759051, 0.025635189388463358], [0.0, -0.04531503, 0.00979410749218291], [-0.6937962726575745, 0.0481004, 0.1608772668494856], [-0.8956193931456443, 0.00352045, 0.21154084844544765], [-0.7139403947234405, -0.0010133, 0.15408760845598124], [-0.34289457901582465, 0.66693716, 0.21825872345089445], [-0.5406922909530465, 0.009674470000000001, 0.11895283346162792], [-0.32719285822215716, -0.01203995, 0.06811518076015535], [0.02637157956249399], [0.0051179805725448425], [0.7008213176994386], [-0.78466], [0.53985], [0.52683], [-0.03725], [-0.02716], [-0.52256], [-0.02337], [0.00432], [0.42352], [-0.0455], [-0.44979], [0.70738], [0.32902], [0.87215], [0.00798], [-0.47597], [-0.04979], [-0.03666], [0.36979], [-0.01175], [-0.38265], [0.6654], [0.3326], [0.8823], [0.02239], [-0.9288518723875638], [-0.03283], [0.79265], [0.40481], [0.85907], [0.45194], [-0.02652], [0.5417377098067687], [0.3303], [-0.39777], [0.01321], [-0.93172], [0.36258], [0.13337], [0.86077], [-0.54995], [0.01727], [0.26561], [-0.18997], [-0.07931]]",2
0,9,0,<class 'agent.Policymakers'>,"[[0.0, 0.6355715200000001, 0.35970567671384596], [-0.4166666666666667, 0.71468283, 0.640294323286154], [-0.27777777777777785, 0.50783675, 0.38364624015576393], [0.0, 0.5051455449357182, 0.29842932972154607], [-0.47429790351637097, 0.7658144954087877, 0.5013346691798113], [-0.16666666666666663, 0.75911152, 0.26741743811952695], [0.0, 0.04543778, 0.005360654103543751], [-0.04901960784313727, 0.005009850000000001, 0.008791255116425055], [-0.119047619047619, -0.0016647099999999998, 0.12775209331904494], [0.0, -0.03697169, 0.05900415628951124], [-0.6424039561644209, 0.04892339, 0.21542390158295335], [-0.8292772158755964, -0.03248798, 0.170947241435013], [-0.6610559210402228, 0.032765430000000005, 0.08474513040861756], [-0.31749498057020803, 0.69311864, 0.1856584534540492], [-0.5006410101417097, 0.00281976, 0.1068720365527785], [-0.3031637598895547, -0.0027254899999999997, 0.03544507773806349], [-0.027640843375747293], [-0.011891986039739035], [0.7644934218728783], [-0.72041], [0.47955], [0.46433856905122983], [0.00574168975], [-0.03155], [-0.48338], [0.02203], [0.00552], [0.36912], [0.0003], [-0.44699], [0.68835], [0.25841], [0.90612], [-0.0404], [-0.50941], [0.02055], [-0.03207], [0.37734], [0.00034], [-0.41507], [0.6621], [0.32251], [0.94071], [0.04095], [-0.8568274796663151], [0.01652], [0.77853], [0.37348], [0.91495], [0.52591], [0.01975], [0.454037685687806], [0.32449], [-0.40771], [-0.00065], [-0.9211], [0.4094], [0.06445], [0.94414], [-0.5013], [0.00267], [0.30608], [-0.1939], [-0.13765]]",0
