Step,AgentID,Run_number,Type,Belieftree,Affiliation
0,0,0,<class 'agent.Externalparties'>,"[[0.0, 0.62926, 0.3506408113228575], [-0.5, 0.66534, 0.6493591886771426], [-0.33333333333333337, 0.53475, 0.4065962057231305], [0.0, 0.46188, 0.29688146661107245], [-0.5667611111214955, 0.7077850202386655, 0.49066229817712564], [-0.19999999999999996, 0.78259, 0.2762726084301186], [0.0, -0.03875, 0.004244924222766254], [-0.05882352941176472, 0.0479, 0.011784728537005322], [-0.1428571428571428, -0.04317, 0.12855049315966605], [0.0, 0.03251, 0.06082172493037782], [-0.770884747397305, 0.01746, 0.2058879390160132], [-0.9951326590507157, -0.00667, 0.1735055690155151], [-0.7932671052482673, -0.02573, 0.0840809509662003], [-0.3809939766842496, 0.6947, 0.18578826586213806], [-0.6007692121700516, -0.01662, 0.10265418432122467], [-0.3635476202468413, 0.02607, 0.04268121996909317], [0.01461], [0.037057986807040116], [0.7806001118350262], [-0.743], [0.50276], [0.50035], [-0.027122173453410663], [0.00995], [-0.45499], [-0.02947], [-0.03591], [0.35281], [-0.01781], [-0.36681], [0.73606], [0.29873], [0.90965], [-0.00457], [-0.4995], [0.02533], [0.01395], [0.39923], [-0.01693], [-0.42976], [0.72371], [0.28445], [0.87604], [-0.02841], [-0.9347790876390077], [0.00067], [0.84249], [0.41011], [0.85608], [0.46714], [-0.01322], [0.48667], [0.27691], [-0.43192], [0.02484], [-0.8914], [0.39992], [0.07689], [0.91857], [-0.5406], [-0.02508], [0.25651], [-0.2222], [-0.06864]]",0
0,1,0,<class 'agent.Externalparties'>,"[[0.0, 0.56668, 0.329212464852555], [-0.5, 0.65464, 0.670787535147445], [-0.33333333333333337, 0.48288, 0.40358265749698047], [0.0, 0.51519, 0.3177777278883078], [-0.5670872353094081, 0.75316, 0.47938626755499064], [-0.19999999999999996, 0.76327, 0.2664705853721343], [0.0, 0.04411, 0.004694601146643861], [-0.05882352941176472, -0.02817, 0.00903612149118097], [-0.1428571428571428, 0.02778, 0.12889358753436778], [0.0, -0.04517, 0.06364869483097578], [-0.770884747397305, 0.01633, 0.20936359890526604], [-0.9951326590507157, -0.0215, 0.1711748340943478], [-0.7932671052482673, 0.01583, 0.08611172518804679], [-0.3809939766842496, 0.65654, 0.18666795569267627], [-0.6007692121700516, 0.04328, 0.10633256683083328], [-0.3635476202468413, -0.04337, 0.03407631428566138], [0.03431], [0.034611033855222774], [0.7291858576246114], [-0.70277], [0.53979], [0.53167], [-0.01216], [-0.04168], [-0.46103], [0.00733], [0.02909], [0.4053], [-0.01973], [-0.35561], [0.70994], [0.29888], [0.93867], [-0.0332], [-0.54051], [-0.00508], [0.04175], [0.40295], [-0.02623], [-0.41903], [0.68701], [0.31401], [0.91657], [0.00975], [-0.8543203975705823], [0.04109], [0.78806], [0.41876], [0.89373], [0.48075], [-0.02877], [0.5425501333062724], [0.26892], [-0.4475], [-0.00687], [-0.94013], [0.4059], [0.05284], [0.90672], [-0.48595], [0.00384], [0.25474], [-0.22004], [-0.08266]]",1
0,2,0,<class 'agent.Externalparties'>,"[[0.0, -0.19077, 0.11633452044101864], [-0.5, 0.94907, 0.8836654795589813], [-0.33333333333333337, -0.19808, 0.6162703305318543], [0.0, -0.23861, 0.6917368872063265], [-0.5670872353094081, 0.10209, 0.4492393464113787], [-0.19999999999999996, 0.10818, 0.29977465070077797], [0.0, 0.02521, 0.02826503947629023], [-0.05882352941176472, 0.01212, 0.014030740209558074], [-0.1428571428571428, -0.00401, 0.02746026602314636], [0.0, 0.03949, 0.007810070001726823], [-0.770884747397305, -0.03173, 0.14618511823959635], [-0.9951326590507157, -0.02602, 0.2083442206281504], [-0.7932671052482673, -0.02065, 0.15280308119829095], [-0.3809939766842496, 0.70979, 0.2157280125263598], [-0.6007692121700516, 0.02152, 0.12307222862414634], [-0.3635476202468413, 0.01458, 0.07630122307273463], [0.00736], [0.02516531356822014], [0.7073073115857376], [-0.72526], [0.54016], [0.54641], [-0.01711], [-0.01992], [-0.45726], [-0.04673], [-0.03473], [0.40315], [-0.01852], [-0.35427], [0.71364], [0.27283], [0.91163], [-0.04004], [-0.4933], [0.0052], [0.01527], [0.41907], [0.00069], [-0.35345], [0.70936], [0.30868], [0.90939], [-0.03216], [-0.8787811697568014], [-0.02887], [0.75491], [0.4018], [0.87675], [0.45179], [0.0365], [0.5434091569827478], [0.30708], [-0.44907], [0.00695], [-0.92739], [0.38712], [0.06099], [0.94489], [-0.48858], [0.00286], [0.31799], [-0.21842], [-0.11789]]",2
0,3,0,<class 'agent.Externalparties'>,"[[0.0, 0.63491, 0.33914320816195714], [-0.5, 0.73719, 0.6608567918380428], [-0.33333333333333337, 0.49759, 0.389119455392961], [0.0, 0.50593, 0.3025063798326431], [-0.5670872353094081, 0.72476, 0.5066256299597738], [-0.19999999999999996, 0.75799, 0.26709580368470925], [0.0, 0.04578, 0.00473120337090896], [-0.05882352941176472, 0.0278, 0.011252580961476702], [-0.1428571428571428, 0.02191, 0.12586909600724266], [0.0, -0.01295, 0.06080676447611984], [-0.770884747397305, 0.02876, 0.20253326726130697], [-0.9951326590507157, -0.01887, 0.16802245255778042], [-0.7932671052482673, 0.04027, 0.09170509280504165], [-0.3809939766842496, 0.72113, 0.1853447564353181], [-0.6007692121700516, 0.0135, 0.10699814849099476], [-0.3635476202468413, 0.04998, 0.04273663763380987], [-0.01316], [-0.03156410942060335], [0.7673368539797615], [-0.76047], [0.45646], [0.46805], [0.03071], [-0.0122], [-0.47894], [-0.04998], [0.01444], [0.42683], [-0.04913], [-0.438], [0.68764], [0.34348], [0.87627], [0.01656], [-0.54006], [-0.0029], [0.02645], [0.44424], [0.02948], [-0.42327], [0.65412], [0.30135], [0.89225], [0.00947], [-0.9266508573561612], [0.01723], [0.81524], [0.44543], [0.89802], [0.50281], [0.04166], [0.5351179588379376], [0.32594], [-0.38252], [-0.04813], [-0.86504], [0.3847], [0.12442], [0.92818], [-0.49238], [0.04486], [0.25217], [-0.18268], [-0.06325]]",0
0,4,0,<class 'agent.Externalparties'>,"[[0.0, 0.61754, 0.34690335084122126], [-0.5, 0.66261, 0.6530966491587787], [-0.33333333333333337, 0.53197, 0.40796018051524613], [0.0, 0.53582, 0.2939971249061282], [-0.5670872353094081, 0.71741, 0.48107214090599304], [-0.19999999999999996, 0.7614, 0.2684746254629806], [0.0, 0.04794, 0.005148767171442258], [-0.05882352941176472, -0.02021, 0.004147102056921449], [-0.1428571428571428, -0.03445, 0.12423517245722362], [0.0, 0.00833, 0.06069688797773024], [-0.770884747397305, 0.04293, 0.21662524571681482], [-0.9951326590507157, -0.0325, 0.16656774129634017], [-0.7932671052482673, 0.03082, 0.08850714714040799], [-0.3809939766842496, 0.70189, 0.18523411738928697], [-0.6007692121700516, 0.03704, 0.10461065841825942], [-0.3626902581537993, 0.04825, 0.044227160375573255], [-0.04941], [-0.03426369180728792], [0.7793264955382072], [-0.73014], [0.54397], [0.4675874205156604], [-0.01723], [0.02085], [-0.49406], [-0.01273], [0.03811], [0.40756], [-0.03643], [-0.38486], [0.69971], [0.32823], [0.87562], [-0.03264], [-0.45857], [-0.03763], [0.03134], [0.40775], [0.03601], [-0.39785], [0.67078], [0.33768], [0.92758], [-0.02489], [-0.9106009785546733], [-0.00968], [0.81615], [0.43349], [0.93669], [0.45798], [-0.00457], [0.4997022529964842], [0.26175], [-0.39797], [0.03655], [-0.89193], [0.43859], [0.14034], [0.8751], [-0.45126], [-0.01354], [0.27477], [-0.20803], [-0.08887]]",1
0,5,0,<class 'agent.Externalparties'>,"[[0.0, -0.22931, 0.14437903352746737], [-0.5, 0.85894, 0.8556209664725327], [-0.33333333333333337, -0.22649, 0.5511473488391498], [0.0, -0.21417, 0.6123701901006351], [-0.5670872353094081, 0.11087, 0.5018205294496303], [-0.19999999999999996, 0.095, 0.3235370897479434], [0.0, 0.00232, 0.020754015551972316], [-0.05882352941176472, -0.02069, 0.0074818546220173435], [-0.1428571428571428, 0.02227, 0.032398188577453746], [0.0, -0.01815, 0.0035610567257831622], [-0.770884747397305, 0.03115, 0.15752259744320452], [-0.9951326590507157, 0.01889, 0.21672865800414], [-0.7932671052482673, 0.01446, 0.15847724742378547], [-0.3809939766842496, 0.65468, 0.20320075925014], [-0.6007692121700516, 0.04074, 0.12586505204683307], [-0.3635476202468413, 0.00364, 0.07401057035467055], [-0.00123], [0.0176149859594467], [0.7761129267570253], [-0.79711], [0.5201], [0.50786], [0.04644], [-0.04354], [-0.49371], [-0.04669], [0.00175], [0.38784], [-0.02333], [-0.43836], [0.70247], [0.34411], [0.90121], [-0.00361], [-0.48307], [0.01287], [0.04045], [0.37132], [-0.00386], [-0.42303], [0.71388], [0.30006], [0.86511], [-0.04683], [-0.9037294575326862], [-0.01263], [0.82245], [0.41864], [0.87715], [0.50293], [-0.02527], [0.5203924046269133], [0.33152], [-0.41865], [0.01674], [-0.88839], [0.40489], [0.09442], [0.8995], [-0.45093], [0.02092], [0.25795], [-0.20898], [-0.11392]]",2
0,6,0,<class 'agent.Policymakers'>,"[[0.0, 0.5963995000000001, 0.34033682379232594], [-0.4166666666666667, 0.739314, 0.6596631762076741], [-0.2777777777777778, 0.4978895, 0.39886228160011983], [0.0, 0.4503528713298349, 0.3264862712844084], [-0.4725726960911734, 0.7366695, 0.4981592972503604], [-0.16666666666666663, 0.7145035000000001, 0.2609561946230086], [0.0, 0.012371000000000004, 0.0014514033826056637], [-0.04901960784313727, 0.0466555, 0.01122489492803258], [-0.119047619047619, -0.0033644999999999994, 0.1310933656677983], [0.0, 0.054191, 0.06270372704697229], [-0.6424039561644208, 0.010271999999999996, 0.20490564471699485], [-0.8292772158755963, 0.06326600000000002, 0.18240072520992473], [-0.6610559210402227, 0.003921500000000001, 0.07801717551161341], [-0.31749498057020803, 0.7129645, 0.19082335191902083], [-0.5006410101417097, 0.040565000000000004, 0.10117571484991779], [-0.3029563502057011, 0.0056275000000000006, 0.036203996767119384], [-0.00348], [-0.02922402471408233], [0.7919541436085592], [-0.71182], [0.4941], [0.5062693334783732], [-0.0302], [-0.02453], [-0.50409], [0.026], [0.0028], [0.42389], [0.04185], [-0.36148], [0.69734], [0.34237], [0.89496], [0.00695], [-0.5395], [-0.04903], [0.00816], [0.3709], [0.0305], [-0.36364], [0.73266], [0.25027], [0.89878], [-0.0459], [-0.8913051690683794], [-0.00335], [0.82836], [0.39716], [0.90456], [0.54757], [-0.03728], [0.4928859844153242], [0.26559], [-0.41489], [0.01244], [-0.93466], [0.383], [0.10911], [0.93757], [-0.52831], [0.0478], [0.30165], [-0.1802], [-0.06849]]",0
0,7,0,<class 'agent.Policymakers'>,"[[0.0, 0.6229534999999999, 0.34990907114768444], [-0.4166666666666667, 0.7407094999999999, 0.6500909288523156], [-0.27777777777777785, 0.556245, 0.4178031900393707], [0.0, 0.46496534280088425, 0.29082303444823393], [-0.4725726960911734, 0.7291793885007085, 0.491086367049716], [-0.16666666666666663, 0.7415715, 0.26994936409911013], [0.0, 0.0106475, 0.0012413252079728375], [-0.04901960784313727, 0.044220499999999996, 0.01557639707548055], [-0.119047619047619, 0.02669300000000001, 0.12685411144321845], [0.0, 0.08076449999999999, 0.06831725749098852], [-0.6424039561644208, 0.075094, 0.21472496917767417], [-0.8292772158755963, 0.0102515, 0.16141568363801517], [-0.6610559210402227, 0.036739, 0.08135153092112177], [-0.31749498057020803, 0.6820635, 0.188830098085421], [-0.5006410101417097, 0.0536465, 0.10561134450276184], [-0.3029563502057011, 0.006497500000000007, 0.03607728245734559], [-0.02579], [-0.04247277371171967], [0.7784707800285424], [-0.71329], [0.51947], [0.45232983716487224], [5.234112311481567e-05], [0.0165], [-0.48231], [0.02151], [0.00735], [0.3811], [-0.01108], [-0.40181], [0.65197], [0.28294], [0.89466], [0.00599], [-0.5485], [0.01523], [0.02026], [0.40538], [-0.03656], [-0.44875], [0.72191], [0.2696], [0.8664], [-0.03849], [-0.8542116719503173], [0.03359], [0.78415], [0.42041], [0.93556], [0.45352], [-0.00815], [0.5160271556948572], [0.29257], [-0.36178], [-0.03619], [-0.94038], [0.41794], [0.10702], [0.92869], [-0.48005], [-0.00938], [0.25789], [-0.16502], [-0.11108]]",1
0,8,0,<class 'agent.Policymakers'>,"[[0.0, -0.172161, 0.12350740040528022], [-0.4166666666666667, 0.805105, 0.8764925995947198], [-0.27777777777777785, -0.165939, 0.5917185548136056], [0.0, -0.1802455, 0.6458528068729021], [-0.4725726960911734, 0.0604575, 0.45427198594643237], [-0.16666666666666663, 0.0524085, 0.2968008314983321], [0.0, 0.0269195, 0.02898740912330032], [-0.04901960784313727, 0.029261, 0.01818913559039354], [-0.119047619047619, -0.0341365, 0.02061474501606038], [0.0, 0.02538, 0.005897249318876608], [-0.6424039561644208, 0.011751, 0.15288652858280327], [-0.8292772158755964, -0.0522665, 0.19597809169653627], [-0.6610559210402227, 0.030102499999999997, 0.1605962776877575], [-0.31749498057020803, 0.673558, 0.2302792164948105], [-0.5006410101417097, 0.013068, 0.11936446454527083], [-0.30295635020570105, -0.013718000000000001, 0.06720688194419086], [0.04333], [0.033018435686530415], [0.7191981985521235], [-0.75036], [0.47674], [0.47274], [-0.02899], [-0.03194], [-0.50272], [0.00933], [-0.04797], [0.39913], [0.01018], [-0.3768], [0.67063], [0.25811], [0.88998], [0.00988], [-0.54278], [0.03056], [-0.02113], [0.39747], [-0.02121], [-0.3685], [0.73673], [0.28204], [0.86576], [0.01477], [-0.8605535826294961], [-0.02097], [0.80148], [0.41768], [0.87437], [0.50647], [0.00343], [0.5094928844306551], [0.34384], [-0.35468], [0.0163], [-0.87831], [0.37393], [0.05158], [0.89296], [-0.45988], [-0.02312], [0.31867], [-0.18488], [-0.11046]]",2
0,9,0,<class 'agent.Policymakers'>,"[[0.0, 0.6442509999999999, 0.3760278370091363], [-0.4166666666666667, 0.652389, 0.6239721629908637], [-0.2777777777777778, 0.46722349999999996, 0.36296170915383774], [0.0, 0.1973762484439061, 0.2849130836789081], [-0.4725726960911734, 0.7706035, 0.5254649212634362], [-0.16666666666666663, 0.7265115, 0.2732131550614235], [0.0, 0.0583415, 0.006834515224825701], [-0.04901960784313727, -0.008890999999999993, 0.008950535124919915], [-0.119047619047619, -0.004998499999999996, 0.12631421869458576], [0.0, 0.0326355, 0.060157289748187695], [-0.6424039561644208, 0.064916, 0.21158028791620856], [-0.8292772158755963, 0.03587750000000001, 0.17803362355130797], [-0.6610559210402227, 0.07712849999999999, 0.08647588190787941], [-0.31749498057020803, 0.652896, 0.18206901643876652], [-0.5006410101417097, 0.0239305, 0.10517116059235701], [-0.3029563502057011, -0.009192499999999992, 0.03441347080096125], [-0.0368], [0.014757381517990359], [0.7880382171008736], [-0.79282], [0.45303], [0.4764806140543951], [0.02647], [0.03009], [-0.46434], [0.0083], [-0.03521], [0.40009], [0.02849], [-0.43248], [0.7306], [0.33741], [0.86871], [-0.00156], [-0.48657], [-0.00649], [-0.03277], [0.37739], [0.0214], [-0.42218], [0.7293], [0.25335], [0.89613], [0.0101], [-0.860533746176417], [0.02918], [0.7756], [0.38682], [0.88386], [0.52655], [-0.03631], [0.46960801199799607], [0.3002], [-0.36075], [-0.03933], [-0.93102], [0.35301], [0.135], [0.89294], [-0.46358], [-0.03188], [0.28203], [-0.16248], [-0.05541]]",0
