Step,CoalitionID_as,Lead,Issue,Creation,Members,Resources
0,0,11,4,1,"[11, 1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 20, 21, 22, 23, 26, 27, 29]",20.565714845359185
0,1,28,3,1,"[28, 4, 12, 24, 25]",4.814069133237271
1,2,11,4,2,"[11, 24, 2, 12, 13, 17, 23, 21, 27, 22, 19, 10, 3, 8, 29, 14, 5, 9, 15, 25, 0, 16, 26, 28, 18, 4, 1, 7, 20, 6]",28.71586486851886
2,3,11,4,3,"[11, 24, 1, 9, 19, 23, 0, 5, 14, 3, 29, 28, 7, 6, 13, 17, 4, 12, 2, 10, 25, 15, 18, 27, 20, 16, 26, 21, 8, 22]",28.70353238353723
3,4,11,4,4,"[11, 3, 22, 4, 0, 24, 10, 8, 25, 23, 2, 17, 1, 14, 6, 12, 27, 5, 20, 18, 29, 26, 15, 19, 16, 9, 21, 28, 7, 13]",28.845696746604816
4,5,11,4,5,"[11, 20, 2, 0, 25, 12, 21, 28, 10, 9, 27, 26, 22, 8, 19, 13, 23, 14, 17, 29, 24, 18, 4, 15, 1, 3, 7, 16, 6, 5]",28.644997312865605
5,6,11,4,6,"[11, 28, 1, 14, 13, 4, 5, 18, 24, 3, 17, 10, 9, 26, 15, 25, 7, 23, 29, 0, 21, 22, 27, 8, 2, 6, 20, 16, 12, 19]",28.82620357966623
6,7,5,4,7,"[5, 10, 3, 13, 20, 17, 8, 25, 23, 27, 4, 24, 18, 14, 7, 15, 2, 0, 26, 1, 21, 11, 12, 6, 9, 16, 29, 19, 22, 28]",28.539458981003587
7,8,5,3,8,"[5, 9, 23, 11, 16, 18, 4, 14, 7, 21, 26, 15, 10, 3, 28, 12, 22, 29, 17, 13, 1, 2, 0, 25, 27, 20, 24, 8, 6, 19]",28.720484915772246
8,9,5,3,9,"[5, 13, 2, 22, 9, 16, 11, 10, 3, 29, 21, 4, 19, 7, 26, 25, 27, 15, 23, 28, 6, 0, 24, 20, 14, 12, 8, 18, 1, 17]",28.541080028309313
9,10,5,3,10,"[5, 19, 21, 29, 25, 10, 14, 2, 1, 15, 13, 16, 17, 11, 20, 0, 7, 18, 6, 27, 23, 4, 8, 3, 12, 24, 26, 22, 9, 28]",28.67988332936093
10,11,1,5,11,"[1, 6, 15, 12, 18, 26, 22, 4, 7, 19, 8, 11, 23, 17, 21, 10, 13, 0, 28, 20, 24, 25, 16, 5, 9, 29, 3, 2, 27, 14]",28.6813141113462
11,12,1,5,12,"[1, 19, 10, 9, 11, 29, 12, 2, 5, 24, 21, 28, 3, 18, 6, 26, 4, 16, 14, 23, 13, 15, 20, 7, 25, 17, 22, 27, 0, 8]",28.469584934344972
12,13,1,5,13,"[1, 5, 19, 12, 24, 15, 8, 23, 26, 0, 14, 7, 20, 2, 28, 16, 29, 4, 25, 18, 11, 3, 17, 13, 6, 22, 9, 27, 10, 21]",28.467926280118448
13,14,1,5,14,"[1, 25, 9, 10, 7, 26, 29, 21, 14, 20, 28, 6, 19, 15, 8, 17, 22, 27, 12, 13, 16, 11, 3, 0, 23, 4, 2, 24, 18, 5]",28.46031204393281
14,15,2,4,15,"[2, 8, 27, 25, 3, 28, 24, 7, 18, 4, 17, 13, 20, 12, 26, 15, 10, 21, 11, 5, 6, 29, 0, 9, 16, 14, 1, 19, 22, 23]",28.749443271914252
15,16,2,4,16,"[2, 13, 5, 23, 24, 28, 1, 25, 0, 18, 29, 11, 15, 26, 6, 16, 3, 27, 21, 17, 20, 7, 19, 12, 22, 10, 14, 9, 8, 4]",28.511443429865142
16,17,2,4,17,"[2, 7, 8, 28, 1, 16, 5, 9, 21, 27, 25, 15, 6, 18, 20, 24, 17, 13, 4, 10, 3, 14, 23, 29, 11, 26, 0, 19, 22, 12]",28.44818654786931
17,18,2,4,18,"[2, 10, 8, 4, 6, 19, 1, 23, 7, 3, 24, 14, 21, 17, 18, 20, 13, 11, 12, 26, 16, 22, 5, 27, 25, 15, 29, 28, 0, 9]",28.485900031905242
18,19,5,4,19,"[5, 12, 24, 3, 4, 19, 7, 1, 2, 9, 0, 11, 20, 13, 25, 23, 21, 26, 22, 16, 17, 18, 6, 29, 10, 15, 27, 28, 14, 8]",28.488372318810256
