Step,CoalitionID_as,Lead,Issue,Creation,Members,Resources
0,0,11,3,1,"[11, 0, 4, 7, 9, 12, 13, 16, 17, 18, 19, 20, 21, 24, 25]",14.341549070532349
0,1,8,3,1,"[8, 1, 3, 10, 15, 22, 23, 27, 28, 29]",9.498390349037676
0,2,26,3,1,"[26, 14]",1.952683199272475
1,3,11,3,2,"[11, 2, 5, 20, 14, 8, 26, 29, 23, 17]",9.532168580260166
1,4,9,4,2,"[9, 10, 15, 21, 24, 25, 6, 22, 3, 28, 7, 13, 12, 18, 19, 4, 1, 16, 0, 27]",19.07270194315976
2,5,11,3,3,"[11, 20, 2, 8, 29, 26, 17, 23, 14, 5]",9.543299267192406
2,6,9,4,3,"[9, 28, 15, 3, 27, 0, 25, 22, 12, 16, 24, 7, 13, 4, 6, 10, 18, 1, 21, 19]",18.92952813575998
3,7,11,3,4,"[11, 20, 8, 2, 23, 14, 29, 26, 17, 5]",9.662557823994952
3,8,9,4,4,"[9, 7, 13, 18, 10, 28, 25, 3, 0, 22, 4, 21, 19, 16, 24, 15, 6, 12, 1, 27]",19.17960689331122
4,9,11,3,5,"[11, 26, 17, 8, 5, 2, 29, 20, 23, 14]",9.568696092420351
4,10,7,4,5,"[7, 4, 16, 1, 12, 9, 19, 22, 27, 15, 21, 28, 18, 25, 13, 10, 24, 6, 0, 3]",18.953252595590115
5,11,11,3,6,"[11, 14, 26, 8, 29, 23, 2, 5, 17, 20]",9.506180385729404
5,12,7,4,6,"[7, 22, 15, 0, 9, 13, 10, 16, 25, 28, 4, 1, 12, 3, 21, 24, 18, 6, 19, 27]",19.018861138293957
6,13,5,2,7,"[5, 29, 2, 20, 8, 17, 23, 11, 26, 14]",9.58373098786207
6,14,7,4,7,"[7, 9, 10, 18, 13, 22, 4, 21, 6, 0, 28, 12, 1, 19, 27, 15, 25, 24, 3, 16]",18.850544397551154
7,15,5,2,8,"[5, 23, 20, 29, 2, 14, 26, 8, 17, 11]",9.534770257538858
7,16,7,4,8,"[7, 21, 25, 1, 10, 16, 0, 24, 18, 12, 13, 27, 6, 3, 9, 19, 22, 4, 15, 28]",18.93922595872068
8,17,5,2,9,"[5, 23, 26, 2, 8, 20, 11, 14, 17, 29]",9.537970413281993
8,18,7,2,9,"[7, 15, 19, 1, 10, 16, 12, 6, 18, 3, 21, 27, 25, 13, 24, 22, 0, 4, 28, 9]",19.200951784837006
9,19,5,2,10,"[5, 11, 17, 2, 8, 23, 26, 20, 14, 29]",9.618405671455951
9,20,1,4,10,"[1, 7, 12, 9, 18, 28, 21, 0, 27, 22, 6, 3, 13, 4, 10, 19, 15, 16, 25, 24]",18.95874633507391
10,21,1,4,11,"[1, 19, 10, 7, 0, 28, 3, 16, 4, 13, 9, 24, 25, 21, 18, 15, 22, 12, 27, 6]",19.213626677547445
10,22,5,2,11,"[5, 17, 2, 20, 14, 26, 29, 11, 23, 8]",9.543589434787005
11,23,1,4,12,"[1, 21, 3, 18, 7, 22, 25, 28, 9, 0, 19, 6, 12, 4, 24, 10, 15, 16, 13, 27]",18.951193406022067
11,24,5,3,12,"[5, 8, 17, 20, 11, 23, 29, 14, 26, 2]",9.665627927810581
12,25,5,3,13,"[5, 2, 29, 20, 14, 23, 11, 26, 17, 8]",9.627439726668515
12,26,1,4,13,"[1, 16, 15, 0, 6, 18, 12, 10, 27, 9, 4, 3, 13, 19, 7, 28, 24, 22, 21, 25]",19.225811456953736
13,27,5,3,14,"[5, 29, 14, 8, 2, 23, 20, 11, 17, 26]",9.685100884063955
13,28,1,4,14,"[1, 28, 22, 7, 15, 25, 12, 3, 16, 10, 4, 19, 24, 0, 27, 21, 9, 13, 18, 6]",19.09406106275501
14,29,5,3,15,"[5, 26, 23, 20, 2, 8, 11, 29, 14, 17]",9.451532175571476
14,30,1,4,15,"[1, 9, 24, 4, 3, 6, 27, 15, 0, 16, 7, 22, 21, 25, 13, 18, 28, 19, 12, 10]",19.217678425851826
15,31,5,3,16,"[5, 20, 29, 14, 23, 2, 11, 26, 17, 8]",9.60197447296799
15,32,1,4,16,"[1, 4, 27, 12, 19, 24, 18, 10, 7, 16, 0, 3, 15, 21, 13, 6, 9, 25, 22, 28]",18.787535145442323
16,33,1,4,17,"[1, 21, 15, 19, 7, 4, 28, 3, 22, 6, 18, 25, 24, 16, 10, 13, 0, 12, 27, 9]",18.999405336031845
16,34,2,3,17,"[2, 8, 11, 23, 29, 5, 26, 17, 14, 20]",9.369676504023426
17,35,1,4,18,"[1, 25, 19, 22, 18, 28, 7, 3, 0, 24, 13, 4, 21, 27, 10, 16, 12, 9, 15, 6]",18.865881254965462
17,36,2,3,18,"[2, 11, 23, 29, 5, 8, 20, 14, 17, 26]",9.54854752542673
18,37,1,4,19,"[1, 25, 0, 13, 27, 10, 19, 24, 22, 7, 16, 12, 6, 18, 15, 4, 21, 9, 3, 28]",19.304505718467468
18,38,5,3,19,"[5, 17, 8, 11, 26, 23, 20, 2, 29, 14]",9.013927597803676
