Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
0,0,11,8,1,"[11, 19, 28, 12, 25, 4, 0]",6.949816963991437
0,1,20,8,1,"[20, 14, 24, 27, 22]",4.949642271283113
0,2,9,8,1,"[9, 16, 17]",2.9587742495342724
0,3,8,8,1,[8],1.0
0,4,7,8,1,"[7, 15, 21]",2.979824141690469
0,5,26,8,1,"[26, 18]",1.9968196623905632
0,6,5,8,1,[5],1.0
0,7,1,8,1,[1],1.0
0,8,2,8,1,[2],1.0
0,9,6,8,1,"[6, 23, 29]",2.9847954420897738
1,10,11,0,2,[11],1.0
1,11,20,0,2,"[20, 27, 12]",2.9884581598332174
1,12,9,0,2,"[9, 17, 16]",2.9733140267358014
1,13,8,0,2,"[8, 23, 24]",2.9916371913734316
1,14,7,0,2,[7],1.0
1,15,28,0,2,[28],1.0
1,16,26,0,2,"[26, 18]",1.989603081719571
1,17,5,0,2,[5],1.0
1,18,1,0,2,[1],1.0
1,19,2,0,2,[2],1.0
1,20,14,0,2,"[14, 25]",1.961222870285925
1,21,6,0,2,"[6, 21]",1.9876133009602444
1,22,29,0,2,[29],1.0
1,23,4,0,2,[4],1.0
1,24,19,0,2,[19],1.0
1,25,10,0,2,[10],1.0
1,26,22,0,2,[22],1.0
1,27,13,0,2,[13],1.0
2,28,11,0,3,[11],1.0
2,29,20,0,3,"[20, 12, 27]",2.9680864700646685
2,30,9,0,3,"[9, 10, 17]",2.9665619226012994
2,31,7,0,3,"[7, 15, 14]",2.963611067725798
2,32,8,0,3,"[8, 24, 6, 23]",3.9706093550911574
2,33,5,0,3,[5],1.0
2,34,1,0,3,[1],1.0
2,35,2,0,3,[2],1.0
2,36,28,0,3,[28],1.0
2,37,26,0,3,"[26, 18]",1.9556455404569844
2,38,4,0,3,[4],1.0
2,39,29,0,3,"[29, 21]",1.991573175991297
2,40,19,0,3,[19],1.0
2,41,16,0,3,[16],1.0
2,42,22,0,3,[22],1.0
2,43,25,0,3,[25],1.0
3,44,11,0,4,"[11, 21]",1.9964133697308233
3,45,9,0,4,"[9, 10, 17]",2.9573220897086006
3,46,20,0,4,"[20, 27, 12]",2.97918727426008
3,47,5,0,4,[5],1.0
3,48,1,0,4,[1],1.0
3,49,7,0,4,"[7, 15]",1.9778498850516233
3,50,2,0,4,[2],1.0
3,51,8,0,4,"[8, 6]",1.9889671742880792
3,52,28,0,4,[28],1.0
3,53,26,0,4,"[26, 18]",1.9965018141599824
3,54,4,0,4,[4],1.0
3,55,14,0,4,[14],1.0
3,56,29,0,4,[29],1.0
3,57,19,0,4,[19],1.0
3,58,16,0,4,[16],1.0
3,59,22,0,4,"[22, 25]",1.9950390138040515
3,60,0,0,4,[0],1.0
3,61,13,0,4,[13],1.0
4,62,11,0,5,[11],1.0
4,63,9,0,5,"[9, 17]",1.9792657286446236
4,64,5,0,5,[5],1.0
4,65,1,0,5,[1],1.0
4,66,20,0,5,"[20, 21, 12]",2.97831311534163
4,67,2,0,5,[2],1.0
4,68,7,0,5,"[7, 15]",1.9984799356749399
4,69,8,0,5,"[8, 6, 27]",2.9819879806335523
4,70,28,0,5,[28],1.0
4,71,26,0,5,"[26, 18]",1.993345051983432
4,72,4,0,5,[4],1.0
4,73,14,0,5,[14],1.0
4,74,29,0,5,"[29, 13]",1.9971586682818687
4,75,10,0,5,"[10, 25]",1.9860377064295078
4,76,19,0,5,[19],1.0
4,77,16,0,5,[16],1.0
4,78,22,0,5,[22],1.0
4,79,0,0,5,[0],1.0
5,80,11,0,6,"[11, 21]",1.999854878805093
5,81,5,0,6,[5],1.0
5,82,1,0,6,[1],1.0
5,83,2,0,6,[2],1.0
5,84,9,0,6,"[9, 15]",1.9929097827725184
5,85,20,0,6,"[20, 12]",1.9947481299393415
5,86,7,0,6,"[7, 25]",1.9994467855567268
5,87,8,0,6,"[8, 27, 6]",2.9853526859988366
5,88,28,0,6,[28],1.0
5,89,17,0,6,"[17, 14]",1.9921341371735646
5,90,4,0,6,[4],1.0
5,91,26,0,6,[26],1.0
5,92,18,0,6,[18],1.0
5,93,29,0,6,"[29, 19]",1.9933595719148558
5,94,10,0,6,[10],1.0
5,95,22,0,6,[22],1.0
5,96,16,0,6,[16],1.0
5,97,0,0,6,[0],1.0
5,98,3,0,6,[3],1.0
6,99,5,0,7,[5],1.0
6,100,1,0,7,[1],1.0
6,101,2,0,7,[2],1.0
6,102,11,0,7,"[11, 15, 12]",2.959867254721639
6,103,9,0,7,[9],1.0
6,104,20,0,7,[20],1.0
6,105,7,0,7,"[7, 25]",1.9687598555116823
6,106,8,0,7,"[8, 27]",1.9855533659799853
6,107,4,0,7,[4],1.0
6,108,28,0,7,[28],1.0
6,109,17,0,7,"[17, 10]",1.9760233934656615
6,110,26,0,7,[26],1.0
6,111,18,0,7,[18],1.0
6,112,6,0,7,"[6, 23, 29]",2.9853608971037806
6,113,14,0,7,[14],1.0
6,114,21,0,7,[21],1.0
6,115,19,0,7,[19],1.0
6,116,22,0,7,[22],1.0
6,117,0,0,7,[0],1.0
6,118,16,0,7,[16],1.0
7,119,5,0,8,[5],1.0
7,120,1,0,8,[1],1.0
7,121,2,9,8,[2],1.0
7,122,11,0,8,"[11, 21]",1.9963238180817005
7,123,9,0,8,[9],1.0
7,124,7,9,8,[7],1.0
7,125,20,0,8,"[20, 15]",1.995670672394544
7,126,4,0,8,[4],1.0
7,127,8,0,8,[8],1.0
7,128,28,0,8,[28],1.0
7,129,17,0,8,[17],1.0
7,130,26,9,8,[26],1.0
7,131,12,0,8,"[12, 27, 29, 14]",3.969658768764596
7,132,6,0,8,[6],1.0
7,133,18,0,8,[18],1.0
7,134,10,9,8,[10],1.0
7,135,19,0,8,[19],1.0
7,136,0,0,8,[0],1.0
7,137,22,9,8,[22],1.0
7,138,3,9,8,[3],1.0
7,139,16,0,8,[16],1.0
7,140,13,0,8,[13],1.0
8,141,5,9,9,"[5, 17, 1, 27, 10, 25, 26, 4, 12, 8, 15, 6, 18, 0, 22, 19, 24, 16, 28, 13, 3]",20.78680708495356
8,142,2,9,9,"[2, 14, 7, 11, 9, 20, 29, 21]",7.8683329076722925
9,143,5,9,10,"[5, 13, 6, 25, 18, 12, 22, 0, 10, 4, 24, 15, 16, 3, 17, 28, 1, 26, 19, 27, 8]",20.68889891608675
9,144,2,9,10,"[2, 29, 21, 20, 7, 9, 14, 11]",7.907223861489094
10,145,1,9,11,[1],1.0
10,146,2,9,11,[2],1.0
10,147,5,9,11,[5],1.0
10,148,4,9,11,[4],1.0
10,149,11,9,11,"[11, 15]",1.9685491526671937
10,150,7,9,11,"[7, 12]",1.9807384878234249
10,151,8,9,11,"[8, 21]",1.9936338631889807
10,152,9,9,11,[9],1.0
10,153,20,9,11,[20],1.0
10,154,28,9,11,"[28, 18]",1.9977972858849966
10,155,6,9,11,"[6, 17]",1.9877644878274507
10,156,26,9,11,[26],1.0
10,157,10,9,11,[10],1.0
10,158,14,9,11,[14],1.0
10,159,0,9,11,[0],1.0
10,160,3,9,11,[3],1.0
10,161,19,9,11,[19],1.0
10,162,29,9,11,[29],1.0
10,163,22,9,11,[22],1.0
10,164,27,9,11,[27],1.0
10,165,13,9,11,[13],1.0
