Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
0,0,11,11,1,"[11, 17, 13, 29, 28, 20, 15, 22, 6, 4, 3, 25, 2, 9, 24, 18, 26, 27, 5]",18.894805707355957
0,1,8,11,1,"[8, 10, 16, 12, 19, 14, 7, 1]",7.9825913422275345
1,2,11,13,2,"[11, 28, 24, 26, 9, 13, 15, 2, 3, 4, 25, 17, 22, 6, 29, 20, 5, 27]",17.932787149999875
1,3,8,13,2,"[8, 12, 7, 14, 10, 19, 18, 1]",7.9665359873168775
1,4,21,13,2,"[21, 23]",1.9904669699193467
2,5,11,13,3,"[11, 22, 9, 27, 25, 5, 17, 15, 3, 4, 24, 29, 28, 26, 13, 6, 2, 20]",17.918764483834508
2,6,7,13,3,"[7, 23, 14, 8]",3.9343756949236086
2,7,1,13,3,[1],1.0
2,8,12,13,3,"[12, 19]",1.995502842140926
2,9,18,13,3,[18],1.0
2,10,10,13,3,"[10, 0]",1.998721534981844
3,11,11,13,4,"[11, 24, 2, 3, 22, 20, 4, 9, 17, 28, 25, 6, 15, 27, 29, 26, 5, 13]",17.904960147237983
3,12,7,13,4,"[7, 8, 14, 23]",3.9630190028986414
3,13,1,13,4,[1],1.0
3,14,12,13,4,"[12, 19]",1.9985628568015084
3,15,18,13,4,[18],1.0
3,16,21,13,4,[21],1.0
4,17,11,13,5,"[11, 25, 9, 2, 20, 15, 4, 13, 29, 24, 6, 27, 3, 17, 5, 26, 22, 28]",17.87975412776399
4,18,7,13,5,"[7, 23, 8, 14]",3.933428625292084
4,19,1,13,5,[1],1.0
4,20,12,13,5,[12],1.0
4,21,18,13,5,[18],1.0
4,22,21,13,5,[21],1.0
4,23,10,13,5,[10],1.0
5,24,11,13,6,"[11, 27, 25, 20, 9, 5, 4, 6, 2, 24, 28, 15, 13, 3, 22, 26, 29, 17]",17.890908320764748
5,25,7,13,6,"[7, 8, 21]",2.9704843781929995
5,26,1,13,6,"[1, 23]",1.9981730477369704
5,27,12,13,6,"[12, 14]",1.9930799189799622
5,28,18,13,6,[18],1.0
5,29,10,13,6,[10],1.0
6,30,11,13,7,"[11, 3, 25, 28, 6, 15, 22, 4, 24, 9, 18, 27, 13]",12.93494736790671
