Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,0,"[[-0.49587299663299667, 0.00456, 0.40698602714406784], [-0.7521243197278912, -0.02295, 0.5930139728559322], [-0.38976684210526313, 0.02982, 0.19389857714317585], [-0.5556555555555557, -0.0008965937036483738, 0.256364029007193], [-0.5961801421606853, 0.021429264277372382, 0.2854083424964451], [-0.5265847008547008, 0.045410171764026265, 0.2643290513531861], [-0.5768737185929649, 0.03122, 0.12596598499425438], [-0.35413385964912275, -0.01954, 0.06931077203239945], [-0.48475114035087724, -0.01377, 0.0975632561955916], [-0.26290735632183904, -0.02572, 0.04913311559342475], [-0.6398272894977541, 0.01274988512408042, 0.13574208440566302], [-0.8336838825422631, -0.02644, 0.16721973552087727], [-0.655359254373556, 0.03418, 0.1428373435107106], [-0.3215966472368747, -0.02461, 0.0615204768697423], [-0.5085160101417097, -0.04725, 0.09555077701890012], [-0.3102946835390344, -0.04403, 0.055156453858436434]]",0
0,1,0,"[[-0.5158183164983166, 0.0051, 0.40975130787348985], [-0.7825152925170068, -0.03213, 0.5902486921265101], [-0.41171431578947376, -0.00891, 0.18649793457514288], [-0.582007111111111, -0.031740244790640325, 0.25477292573881066], [-0.6216533478471128, 0.016997251261245627, 0.2956944922882551], [-0.5536422222222221, 0.014468579730404182, 0.2630346473977914], [-0.5988201340033502, 0.04905, 0.126712794559382], [-0.361374947368421, 0.02653, 0.07586785888822657], [-0.5026357192982456, -0.00661, 0.09701451227150293], [-0.27043618390804597, -0.01103, 0.0507356038869412], [-0.6714014477443311, -0.025334732655151182, 0.12647248363695224], [-0.8663149711772868, -0.029, 0.16376510407830244], [-0.686443491215165, 0.00791, 0.13580417843969], [-0.32651477979301635, 0.0276, 0.06925905515212596], [-0.5217346505473781, -0.00801, 0.10047613354648574], [-0.32115593754726246, -0.04561, 0.053892275540390965]]",1
0,2,0,"[[-0.5366796363636365, -0.00316, 0.3863601253067924], [-0.8038072653061225, 0.04356, 0.6136398746932076], [-0.42554078947368423, 0.00775, 0.1966404255359862], [-0.5990840000000001, 0.008855429854657858, 0.2759012448243729], [-0.6529765535335401, -0.04737465105230091, 0.2748404044174734], [-0.5792410769230769, -0.022605685414091924, 0.2526179252221675], [-0.632477216080402, -0.03834, 0.11136264165143842], [-0.3774443684210526, 0.01503, 0.07356378503974009], [-0.5231386315789475, -0.02086, 0.09414504552788651], [-0.2826913448275862, -0.03381, 0.04664929795276763], [-0.6956632726575745, -0.01956779428572013, 0.12689284088407884], [-0.890721393145644, 0.04898, 0.1761337729264115], [-0.7176063947234406, -0.03666, 0.1276337978618788], [-0.33871457901582464, 0.0418, 0.0713220911924036], [-0.5383312909530464, 0.02361, 0.10532796956634716], [-0.32384885822215725, 0.03344, 0.0669687573970476]]",2
1,0,0,"[[-0.5792784960718295, 0.00456, 0.4069860271440678], [-0.873653373015873, -0.02295, 0.5930139728559322], [-0.45969798245614035, 0.02982, 0.1938547949856418], [-0.6481648148148149, -0.0009526451360788313, 0.2563035209365882], [-0.700008110451122, 0.021199826264817166, 0.28560670235768654], [-0.621952150997151, 0.045288373827270884, 0.26423498172008336], [-0.6782226716917923, 0.028576889540591812, 0.134925687032905], [-0.4098995029239766, -0.01954, 0.07424070502587753], [-0.5632479970760235, -0.01377, 0.10450273041534155], [-0.3024385823754789, -0.02572, 0.05262785328763437], [-0.5075784546934629, 0.01274988512408042, 0.09895888918713472], [-0.9546597610111314, -0.02644, 0.17653391030636353], [-0.5533669096872182, 0.03418, 0.11174288440327722], [-0.4517473075223774, -0.02461, 0.08123530903125507], [-0.7938444428783096, -0.04725, 0.14199141404912236], [-0.16622975279764357, -0.04403, 0.023240617261088788]]",0
1,1,0,"[[-0.5852740920314254, 0.0051, 0.40975130787348985], [-0.8825666648526077, -0.03213, 0.5902486921265101], [-0.4654215578947369, -0.00891, 0.18644777810383167], [-0.6553787259259259, -0.03174407866171712, 0.2547039441174225], [-0.7075576566075964, 0.016855264653436435, 0.29586365835225814], [-0.6293745185185184, 0.014535103455534715, 0.26298461942648776], [-0.6852028185371302, 0.0461079285524053, 0.13577375764925936], [-0.41309560701754383, 0.02653, 0.08129300850697396], [-0.568772481871345, -0.00661, 0.10395181420641207], [-0.30502367509578543, -0.01103, 0.054363599274153476], [-0.5064983890675014, -0.025334732655151182, 0.0889739828381174], [-0.9638496079678892, -0.029, 0.17286694842196065], [-0.5534317808119792, 0.00791, 0.10380005494322146], [-0.45760908494128305, 0.0276, 0.08972203993617393], [-0.807020065575196, -0.00801, 0.14774829086643756], [-0.16191532276908502, -0.04561, 0.021506503357290273]]",1
1,2,0,"[[-0.5900316000000001, -0.00316, 0.3863601253067924], [-0.8885439918367347, 0.04356, 0.6136398746932076], [-0.46886986842105266, 0.00775, 0.1965630903848195], [-0.6599084000000001, 0.008797791459578121, 0.2757815279253926], [-0.7139939890516424, -0.04712221052100472, 0.275024996571488], [-0.6348471846153846, -0.022277140674200197, 0.25263038511829977], [-0.6918909376884422, -0.03565824167420835, 0.11954929791076142], [-0.41669180526315786, 0.01503, 0.07897171549401287], [-0.5733664947368421, -0.02086, 0.10106597623521912], [-0.3075794793103448, -0.03381, 0.050078650574209474], [-0.5025821462251017, -0.01956779428572013, 0.08835428629237459], [-0.9700415823489789, 0.04898, 0.18640217265484], [-0.5514322361472996, -0.03666, 0.09416352401394569], [-0.4638711535231126, 0.0418, 0.09249872946587624], [-0.8196522455783712, 0.02361, 0.15425180135171762], [-0.15605997580664463, 0.03344, 0.034663846007042885]]",2
2,0,0,"[[-0.42482924429479985, 0.00456, 0.3302111609858023], [-0.8939082152305367, -0.02295, 0.6697888390141978], [-0.4713531725146199, 0.02982, 0.19365777524932096], [-0.6635830246913581, -0.0010683244940637715, 0.25600157779083066], [-0.7200824837139672, 0.021150246358082426, 0.2864189252738706], [-0.6378467260208927, 0.04516476878014491, 0.26392172168597783], [-0.6951141638749302, 0.026234074199915636, 0.14681153175410158], [-0.41919377680311887, -0.01954, 0.08107573372209281], [-0.5763308065302144, -0.01377, 0.11412385619765648], [-0.3090271200510855, -0.02572, 0.05747307784895563], [-0.2594621026667553, 0.01274988512408042, 0.05522226466775916], [-0.961317102404327, -0.02644, 0.18965377388327337], [-0.3339543425013929, 0.03418, 0.07468154602553408], [-0.5368938522350237, -0.02461, 0.10392442560200171], [-0.895825095416412, -0.04725, 0.17214612365110424], [-0.06812320700238228, -0.04403, 0.004887666647521004]]",0
2,1,0,"[[-0.41945068701833144, 0.0051, 0.3295362984445451], [-0.8959068478306879, -0.03213, 0.670463701555455], [-0.47258252350877195, -0.00891, 0.18622359297134541], [-0.6651616079012347, -0.03175199597196626, 0.25439465953997253], [-0.7218920647986776, 0.016815459681173914, 0.29668518704236646], [-0.6394721580246913, 0.014608107293571907, 0.26269656044631573], [-0.6967205098083008, 0.043380570722083435, 0.14767238376362124], [-0.4199916949707602, 0.02653, 0.08876736497059876], [-0.5775907168810916, -0.00661, 0.11350949854715789], [-0.309635340587484, -0.01103, 0.059361974006290716], [-0.24939343983555878, -0.025334732655151182, 0.04454229494140518], [-0.9628087089876225, -0.029, 0.1856387705615423], [-0.32518648929726135, 0.00791, 0.06621872569441752], [-0.5410812843460504, 0.0276, 0.11305237727094163], [-0.9016610712108543, -0.00801, 0.17765553541521661], [-0.06362368783343071, -0.04561, 0.003581074828808236]]",1
2,2,0,"[[-0.41354861454545455, -0.00316, 0.3037741362712032], [-0.8970176644897959, 0.04356, 0.6962258637287967], [-0.4732027763157895, 0.00775, 0.19628547236410465], [-0.6659908400000001, 0.008678787417792933, 0.2753448010464649], [-0.7230870214350469, -0.04691165560552951, 0.27595931995550643], [-0.6404077953846153, -0.021933670022990022, 0.25241040663392394], [-0.6978323098492463, -0.033114382524485786, 0.13105456540804494], [-0.4206165489473684, 0.01503, 0.08622123983375313], [-0.5783892810526317, -0.02086, 0.11034373156892947], [-0.31006829275862063, -0.03381, 0.05467582050990123], [-0.2391131636577825, -0.01956779428572013, 0.043451449329179534], [-0.9633878718495673, 0.04898, 0.2003633755153957], [-0.3162078697725349, -0.03666, 0.05532687905576514], [-0.5449179604121089, 0.0418, 0.11612062600219182], [-0.9065643278894663, 0.02361, 0.18409599251031153], [-0.0592577056396615, 0.03344, 0.01834632026652758]]",2
3,0,0,"[[-0.14656244980670913, 0.00456, 0.14737090644248005], [-0.8972840222663139, -0.02295, 0.8526290935575199], [-0.4732957041910332, 0.02982, 0.19336083348595026], [-0.6661527263374486, -0.0011935631417949392, 0.25556160731729194], [-0.7273998051523114, 0.02093934348943955, 0.2876067677994662], [-0.6404958218581829, 0.045042662631484, 0.2634707913972916], [-0.6979294125721198, 0.025959883252567217, 0.15674334984844973], [-0.4207428224496426, -0.01954, 0.08683933325570457], [-0.5785112747725796, -0.01377, 0.12223681644059968], [-0.3101252096636866, -0.02572, 0.06155878622898609], [-0.02192177599891673, 0.01274988512408042, 0.007504593104318746], [-0.95258525087326, -0.02644, 0.2004617903550912], [-0.12227390171163435, 0.03418, 0.03386405017526309], [-0.6035722935867678, -0.02461, 0.12531491989087123], [-0.9363734911219089, -0.04725, 0.19244852436376403], [0.016159369411742452, -0.04403, 0.013027836336951646]]",0
