Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,0,"[[0.10750166666666672, 0.6447284549101793, 0.3629436317674519], [-0.3114066666666666, 0.63156, 0.6370563682325481], [-0.18183777777777776, 0.57564, 0.25872674116093575], [0.10462166666666683, 0.62773, 0.17867469954632423], [-0.36939769609117334, 0.5859130449536125, 0.32629925534141146], [-0.06163666666666656, 0.63018, 0.23629930395132853], [0.092945, 0.55767, 0.05576412260993829], [0.05265372549019609, 0.6099114794402254, 0.06688290182981639], [-0.023112619047619076, 0.57561, 0.0718430072363544], [0.09372333333333327, 0.56234, 0.056231098514305404], [-0.5418056228310876, 0.60359, 0.13744038291126878], [-0.7364588825422631, 0.55691, 0.15519625788577252], [-0.5624909210402226, 0.59139, 0.1384585661588154], [-0.21325164723687462, 0.62546, 0.10064020470364277], [-0.406899343475043, 0.56245, 0.11631591939621384], [-0.19482635020570116, 0.64878, 0.10122753875387219]]",0
0,1,0,"[[0.11199333333333339, 0.6713168906233457, 0.35234491671348467], [-0.2943783333333334, 0.73373, 0.6476550832865152], [-0.15692777777777778, 0.7251, 0.2722842756750941], [0.11772666666666665, 0.70636, 0.18171264538707477], [-0.34884936275783995, 0.7014698159481982, 0.3242362701117627], [-0.05632333333333328, 0.66206, 0.22176680882606836], [0.11129500000000003, 0.66777, 0.060868461922326714], [0.06362205882352945, 0.675660118559401, 0.06696684150282489], [0.0027690476190476154, 0.7309, 0.07964456830849094], [0.11132333333333322, 0.66794, 0.0608839577345477], [-0.5273022894977542, 0.69061, 0.13321793039764196], [-0.7125722158755964, 0.70023, 0.15453542006523663], [-0.552310921040223, 0.65247, 0.13178159237536732], [-0.19823831390354119, 0.71554, 0.0999510858624118], [-0.3891043434750431, 0.66922, 0.11576184914377481], [-0.18730635020570108, 0.6939, 0.09638829268737718]]",1
0,2,0,"[[-0.040970000000000006, -0.23944544176240015, 0.41084389146369715], [-0.4430766666666667, -0.15846, 0.5891561085363028], [-0.3171194444444445, -0.23605, 0.13650609308388803], [-0.03993333333333335, -0.2396, 0.3362020891166649], [-0.5112210294245068, -0.20510997328316916, 0.5154349411173275], [-0.2014083333333333, -0.20845, 0.011856876682119492], [-0.039393333333333336, -0.23636, 0.07336853149248145], [-0.08571460784313725, -0.22012328808493395, 0.05008357424502316], [-0.152167619047619, -0.19872, 0.017340395132618515], [-0.027228333333333327, -0.16337, 0.050711698214277776], [-0.6835356228310875, -0.24679, 0.1626843035177834], [-0.8628338825422631, -0.20134, 0.24640125953656725], [-0.695489254373556, -0.2066, 0.18210739544343554], [-0.35892831390354135, -0.2486, 0.04109642768562035], [-0.536309343475043, -0.21401, 0.12005396614531116], [-0.33339801687236775, -0.18265, 0.056152448586881565]]",2
1,0,0,"[[0.017916944444444458, 0.6444603570930156, 0.36286202962236563], [-0.4685677777777778, 0.63156, 0.6371379703776344], [-0.3080840740740741, 0.57564, 0.25825534774681674], [0.017436944444444477, 0.62773, 0.17834915887643488], [-0.5364187943973876, 0.5843450172678568, 0.3275267206304423], [-0.17693944444444437, 0.63018, 0.23586877274630602], [0.015490833333333343, 0.55767, 0.0581842447369135], [0.06759915032679754, 0.6099114794402254, 0.058198535135491065], [-0.027661626984126903, 0.57561, 0.06474041450740685], [-0.1927127777777778, 0.56234, 0.08102888917994559], [-0.4677913670493397, 0.60359, 0.1149758594566084], [-0.9380336644604375, 0.55691, 0.1604306719781088], [-0.5168154975516008, 0.59139, 0.11892766054579497], [-0.43995340840236674, 0.62546, 0.11433540481016727], [-0.7849863585061734, 0.56245, 0.14460084723052258], [-0.13933959701930212, 0.648046392553179, 0.08457747241904115]]",0
1,1,0,"[[0.01866555555555556, 0.6705922989921393, 0.35212893446566224], [-0.4657297222222222, 0.73373, 0.6478710655343377], [-0.30393240740740746, 0.7251, 0.27176989741303137], [0.019621111111111103, 0.70636, 0.1813693679998761], [-0.5329940721751654, 0.6995312951060291, 0.3255128703564267], [-0.17605388888888884, 0.66206, 0.2213478642306659], [0.018549166666666672, 0.66777, 0.06326766729934258], [0.06942720588235311, 0.675660118559401, 0.05907842178790658], [-0.023348015873015788, 0.7309, 0.07350274371885769], [-0.1897794444444445, 0.66794, 0.0835862092851632], [-0.4653741448271175, 0.69061, 0.11265260836244027], [-0.9340525533493264, 0.70023, 0.15926359652931438], [-0.5151188308849343, 0.65247, 0.1137835046290459], [-0.43745118618014445, 0.71554, 0.11236093948461766], [-0.7820205251728403, 0.66922, 0.1414258415684829], [-0.13808626368596877, 0.6931203121164021, 0.08107846733482875]]",1
1,2,0,"[[-0.006828333333333332, -0.22790097910957488, 0.399679053542277], [-0.4905127777777778, -0.15846, 0.6003209464577229], [-0.33063101851851856, -0.23605, 0.1366823019623131], [-0.00665555555555556, -0.2396, 0.33663607555425945], [-0.5600560166196098, -0.20381968965924446, 0.5148094403530706], [-0.2002347222222222, -0.20845, 0.011872182130356854], [-0.006565555555555554, -0.23636, 0.08044165459541758], [0.04453776143790866, -0.22012328808493395, 0.09264702974890358], [-0.04917079365079356, -0.19872, 0.052351072417114446], [-0.21287138888888885, -0.16337, 0.017328415561221843], [-0.4914130337160064, -0.24679, 0.08563253838377081], [-0.9590961644604374, -0.20134, 0.265259500926758], [-0.5389818864404898, -0.2066, 0.11635333033163588], [-0.46423285284681115, -0.2486, 0.07548425946529469], [-0.8065546918395068, -0.21401, 0.2074257084349374], [-0.16243487479707988, -0.18245132138685036, 0.0070764901349456245]]",2
2,0,0,"[[0.0029861574074074113, 0.6441723622532352, 0.3627629327918029], [-0.4947612962962963, 0.63156, 0.6372370672081972], [-0.3291251234567902, 0.57564, 0.25774856534717466], [0.002906157407407413, 0.62773, 0.1779991788450508], [-0.5744293968576116, 0.5799075633673465, 0.3288463355975182], [-0.19615657407407402, 0.63018, 0.2354059202102564], [0.0025818055555555577, 0.55767, 0.06192034389881107], [0.18871750544662325, 0.6099114794402254, 0.04698438190329946], [0.07634210978836002, 0.57561, 0.055693563237242796], [-0.4279521296296297, 0.56234, 0.11046754342942479], [-0.19771440317166472, 0.60359, 0.08938587544935964], [-0.9488506195218043, 0.55691, 0.1679682910269649], [-0.27843731350420775, 0.59139, 0.09702963767526139], [-0.5426877555006182, 0.62546, 0.13030742045886162], [-0.9010766806684647, 0.56245, 0.16325707568465792], [-0.042097481835998124, 0.6464100890118126, 0.07698586723611667]]",0
2,1,0,"[[0.003110925925925925, 0.669869298617417, 0.35189285727586495], [-0.49428828703703703, 0.73373, 0.648107142724135], [-0.3284331790123457, 0.7251, 0.2713476032971077], [0.0032701851851851815, 0.70636, 0.18108754423041448], [-0.5738586098205746, 0.6940456354049164, 0.3265609332538484], [-0.19600898148148144, 0.66206, 0.22100391921862944], [0.003091527777777778, 0.66777, 0.06693543289939402], [0.18902218137254917, 0.675660118559401, 0.049006132065579806], [0.07706104497354524, 0.7309, 0.06584385583433067], [-0.4274632407407408, 0.66794, 0.11031091449862253], [-0.19731153280129438, 0.69061, 0.08941678520148871], [-0.9481871010032857, 0.70023, 0.16600133277301307], [-0.27815453572643, 0.65247, 0.09371712605251963], [-0.5422707184635811, 0.71554, 0.12666591211293154], [-0.9005823751129092, 0.66922, 0.15808455657271475], [-0.04188859294710923, 0.6912141978240498, 0.07401795198940533]]",1
2,2,0,"[[-0.0011380555555555553, -0.21822584113773308, 0.38971208628569903], [-0.4984187962962963, -0.15846, 0.6102879137143009], [-0.3328829475308642, -0.23605, 0.1341314321975339], [-0.0011092592592592604, -0.2396, 0.3303535153797751], [-0.5783689338946486, -0.2001776567914148, 0.5238644380447316], [-0.20003912037037033, -0.20845, 0.011650614377959561], [-0.0010942592592592592, -0.23636, 0.0740604008962685], [0.18487394063180845, -0.22012328808493395, 0.12749096840960328], [0.07275724867724893, -0.19872, 0.08545959053770276], [-0.43131189814814824, -0.16337, 0.08434668103940669], [-0.2016513476161092, -0.24679, 0.01420940711955244], [-0.9523610361884709, -0.20134, 0.23641741822045625], [-0.2821317116523559, -0.2066, 0.023776980140594442], [-0.5467343295746923, -0.2486, 0.09385109748543337], [-0.9046714028906869, -0.21401, 0.2174165274579045], [-0.04594669479896109, -0.1819598399728644, 0.04297092869307786]]",2
3,0,0,"[[0.0004976929012345684, 0.6438103610512648, 0.3626340648372544], [-0.4991268827160494, 0.63156, 0.6373659351627455], [-0.3326319650205762, 0.57564, 0.25665225601654534], [0.00048435956790123533, 0.62773, 0.17724207604469439], [-0.5958726513439188, 0.5779909499092347, 0.3317010247151062], [-0.19935942901234563, 0.63018, 0.23440464322365406], [0.0004303009259259264, 0.55767, 0.06666453388546127], [0.33939409404502563, 0.6099114794402254, 0.032362940822863784], [0.20891416115520295, 0.57561, 0.043869105548197944], [-0.635908688271605, 0.56234, 0.1433506808923055], [0.07121736675524926, 0.60359, 0.06368959983936676], [-0.9225863818433501, 0.55691, 0.17699732600656373], [-0.038856317597731754, 0.59139, 0.07539857096594996], [-0.6064275592862711, 0.6254789306000925, 0.14737501666800867], [-0.9415788653075801, 0.56245, 0.1799322327942768], [0.0582805573806706, 0.6448833927884032, 0.07035999257700569]]",0
