,Agenda_issue,Belieftruth_tree,Chosen_instrument,Run_number
0,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5670872353094081, -0.19999999999999996, 0.0, -0.05882352941176472, -0.1428571428571428, 0.0, -0.770884747397305, -0.9951326590507157, -0.7932671052482673, -0.3809939766842496, -0.6007692121700516, -0.3635476202468413]",13.0,0
1,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5698230140586305, -0.19999999999999996, 0.0, 0.07058823529411784, -0.02857142857142847, -0.25, -0.45298851589299016, -0.9783486208440724, -0.5076804128538766, -0.48529376063546514, -0.8606037615123996, -0.1282422463820223]",13.0,0
2,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5820315173496564, -0.19999999999999996, 0.0, 0.2129411764705884, 0.09714285714285742, -0.4750000000000001, -0.14369901039612976, -0.9510140105340776, -0.23076167669472913, -0.5632346249202684, -0.9242947451009229, -0.022649058799337318]",13.0,0
3,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6001613022411803, -0.19999999999999996, 0.0, 0.3695294117647061, 0.23542857142857154, -0.6775, 0.12500372074063204, -0.9173335343076592, 0.009059881583563412, -0.6191755200434017, -0.9496793022354031, 0.07835616522400435]",13.0,0
4,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6232982955632789, -0.19999999999999996, 0.0, 0.5417764705882357, 0.38754285714285763, -0.85975, 0.3456718996820354, -0.881626778184171, 0.20541446698491983, -0.658161625932565, -0.9621885657390006, 0.16860890164115028]",13.0,0
5,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6503478118494932, -0.19999999999999996, 0.0, 0.7312482352941185, 0.5548685714285719, -1.0237749999999999, 0.5200978820996167, -0.8473895712981706, 0.36017767462857253, -0.6848664599932845, -0.9691085906510687, 0.24616284657572374]",13.0,0
6,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.680231017501896, -0.19999999999999996, 0.0, 0.9396671764705893, 0.7389268571428578, -1.1713974999999999, 0.6535858299505151, -0.8170469210515809, 0.47830916417184555, -0.7032088982675082, -0.9732314810347307, 0.3109989750364499]",13.0,0
7,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.3526747667662954, -0.19999999999999996, 0.0, 1.1689280117647072, 0.9413909714285722, -1.3042577499999999, 0.7845927707264508, -0.8105342823392868, 0.5942199480817238, -0.7439214210406968, -0.9785827479018869, 0.18481998023699453]",13.0,0
8,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.397272780926741, -0.19999999999999996, 0.0, 1.421114930588237, 1.1641014971428585, -1.423831975, 0.876881706336327, -0.805606062510559, 0.6757407742884591, -0.771224080038127, -0.9817970318184395, 0.23422807092187004]",13.0,0
9,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.44188565699321225, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.9398806462069507, -0.8030858768586014, 0.7313578454318577, -0.7899470504570195, -0.9838236445383258, 0.27498155931735857]",,0
10,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.485968935884177, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.9722596227831592, -0.7968640315043654, 0.7598984704968268, -0.7970378256739393, -0.9846231906572229, 0.30774812368686577]",,0
11,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5291500700952667, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.987406512339229, -0.7890980900315365, 0.7732037669005289, -0.7978604273915921, -0.9848004253557587, 0.335580038135435]",7.0,0
12,4,"[0.0, -0.5, -0.33333333333333337, 0.10000000000000009, -0.5712305162916183, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.9926742545629175, -0.7807174569632838, 0.7777585892775463, -0.7952172984671966, -0.9846411316086118, 0.36021923688431734]",7.0,0
13,4,"[0.0, -0.5, -0.33333333333333337, 0.2100000000000002, -0.612111349352388, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.9921829724742071, -0.7720919317272019, 0.7771856281924028, -0.7905881186336872, -0.9842888757711965, 0.38268776278888517]",,0
14,4,"[0.0, -0.5, -0.33333333333333337, 0.2100000000000002, -0.651751365057107, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.9882693487325942, -0.7633422542223556, 0.773533288556119, -0.7847613128489594, -0.9838184646404337, 0.40359500371546675]",,0
15,4,"[0.0, -0.5, -0.33333333333333337, 0.2100000000000002, -0.6901428117635491, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.982268240031253, -0.7544835490077302, 0.7679684978175461, -0.7781599424407877, -0.9832696824758238, 0.423309016903487]",,0
