,Agenda_issue,Belieftruth_tree,Chosen_instrument,Run_number
0,2,"[0.0, -0.5, -0.33333333333333337, 1.357947691000002, 0.15467749151505394, -0.19999999999999996, 0.0, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, -0.4061275797041768, -0.9896521253474622, -0.46677965553320444, -0.5617453364975448, -0.8904131176913497, -0.5082679084395682]",11,0
1,3,"[-0.4, -0.75, -0.16666666666666663, 1.357947691000002, 0.12038401043843083, 0.08000000000000052, 0.19999999999999996, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.20229909164471915, -0.9556471811868454, 0.07349330360209216, -0.7358419482740439, -0.9671902251786043, -0.3080329942218579]",11,0
2,3,"[-0.7600000000000001, -0.975, 0.01666666666666683, 1.357947691000002, 0.08153970996043292, 0.388000000000001, 0.4200000000000004, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.5590294214673477, -0.9091047140994303, 0.3887553314396244, -0.7938656158017642, -0.9802091960062731, -0.15999166382795305]",11,0
3,3,"[-1.084, -1.1774999999999998, 0.2183333333333337, 1.357947691000002, 0.12071771441216028, 0.7268000000000014, 0.6620000000000004, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.7488418601162032, -0.8586716129499227, 0.5551860109699833, -0.8013134104183631, -0.9829656741440025, -0.1000892235969365]",11,0
4,3,"[-1.3756, -1.3597499999999996, 0.44016666666666726, 1.357947691000002, 0.08111323662772585, 1.099480000000002, 0.9282000000000006, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.8382192912715261, -0.806490354520334, 0.6325514855220744, -0.7838750449121512, -0.9823486971566079, -0.032885064675568065]",11,0
5,3,"[-1.6380399999999997, -1.5237749999999997, 0.684183333333334, 1.357947691000002, 0.04438347422550426, 1.5094280000000024, 1.221020000000001, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.8648953441686889, -0.7518356742393227, 0.6552412336208158, -0.7517143218321639, -0.9800000408299226, 0.012905052114907]",11,0
6,3,"[-1.8742359999999998, -1.6713974999999996, 0.9526016666666675, 1.357947691000002, 0.05087818955900558, 1.9603708000000033, 1.5431220000000017, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.8545710090284577, -0.6959592007514916, 0.6455049168854576, -0.7119075644182474, -0.9766562078605399, 0.024692914787435516]",11,0
7,4,"[-2.0868124, -1.8042577499999997, 1.2478618333333347, 1.357947691000002, 0.01991102027402758, 2.456407880000004, 1.897434200000002, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.820792397828692, -0.6384802256665272, 0.6150569820881788, -0.6670054116887605, -0.97250915668369, 0.04740360839602875]",11,0
8,4,"[-2.27813116, -1.9238319749999997, 1.5726480166666685, 1.357947691000002, -0.007920443858766668, 3.002048668000005, 2.2871776200000027, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.7699671618027755, -0.57843092769097, 0.5695204703991081, -0.6176380276961141, -0.96751772450969, 0.06323477661421362]",11,0
9,4,"[-2.450318044, -2.0314487774999996, 1.9299128183333356, 1.357947691000002, 0.003600962438033539, 3.602253534800006, 2.7158953820000034, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.708544140406191, -0.5177430954777524, 0.5142887061311607, -0.5664431119786102, -0.9618252550947101, 0.05545564919059198]",11,0
10,5,"[-2.6052862396, -2.1283038997499997, 2.3229041001666695, 1.357947691000002, -0.01912487305005295, 4.2624788882800075, 3.1874849202000037, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.6395858637856975, -0.45682509053999976, 0.4518693490026551, -0.5143312387041239, -0.955398304341962, 0.06166482500762527]",11,0
11,5,"[-2.7447576156399998, -2.215473509775, 2.755194510183337, 1.357947691000002, -0.03937640447954627, 4.988726777108009, 3.706233412220004, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.563490610224513, -0.3955495030597945, 0.38263267485311503, -0.46153506761455765, -0.9480734647575965, 0.06357033919238497]",11,0
12,5,"[-2.870281854076, -2.2939261587974995, 3.230713961201671, 1.357947691000002, 0.013239366489466775, 5.78759945481881, 4.276856753442005, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.4848158357708523, -0.3381075736363466, 0.3104610702762425, -0.4120476161718115, -0.9401785730570641, 0.02592037714081563]",11,0
13,5,"[-2.9832536686684, -2.3645335429177496, 3.7537853573218385, 1.357947691000002, -0.003389665425891919, 6.666359400300692, 4.904542428786206, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.4050060968296538, -0.2849457485032142, 0.2365403963775512, -0.366501537065439, -0.9316913042452533, 0.020047595702335386]",11,0
14,5,"[-3.08492830180156, -2.428080188625975, 4.329163893054023, 1.357947691000002, -0.018088953061799473, 7.632995340330762, 5.594996671664828, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.3215466217783429, -0.2352070599810624, 0.15886731480176963, -0.3243199677121854, -0.9222597187607116, 0.009651483409025108]",11,0
15,5,"[-3.176435471621404, -2.4852721697633773, 4.962080282359426, 1.357947691000002, 0.07709808274353258, 8.69629487436384, 6.354496338831311, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.23975303180514107, -0.19486338821264848, 0.08214495491901852, -0.29093035536063583, -0.912634052531046, -0.05960840825924163]",11,0
16,5,"[-3.258791924459264, -2.5367449527870396, 5.65828831059537, 1.357947691000002, 0.06498200929362419, 9.865924361800225, 7.189945972714442, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.16123130592681245, -0.1633852302776344, 0.007782117769817409, -0.2660259935223327, -0.9028925011288587, -0.07827960918973653]",11,0
17,5,"[-3.3329127320133374, -2.5830704575083354, 6.424117141654907, 1.357947691000002, 0.05439580367004382, 11.15251679798025, 8.108940569985888, 1.6985205412941196, 1.4090830754285726, -1.5314487774999999, 0.08104446607239524, -0.13874481968518848, -0.06810287337829035, -0.2479009284106345, -0.8923916885810695, -0.10186646939615107]",11,0
